상품ID,상품명,노출수,클릭수,클릭율,CPC적용수수료,CPC클릭당수수료
20250829_CS_HL_GPT_0008,하와이 와이키키 다이아몬드헤드 하나우마베이 마노아폭포 리조트 여행,1,0,0.0,0,0.0
20250829_LDW_GUAM_ML_0008,괌 4박6일 리조트 여행 홈쇼핑 연휴 PIC 투어 대한항공 사이판 5박7일 패키지,1,0,0.0,0,0.0
20250829_CS_NY_MKL_0018,뉴욕 자유의여신상 오페라의유령 모마미술관 록펠러등대 패키지 여행 국적기,1,0,0.0,0,0.0
20250901_LSR_CEBU_MKRT_0020,세부 마젤란의십자가 항공권 멀라이언파크 일정 여행 직항,1,0,0.0,0,0.0
20250829_LDW_GUAM_MKL_0020,괌 사랑의절벽 투몬베이 PIC 패키지 라떼스톤공원,1,0,0.0,0,0.0
20250901_LSR_PHUQU_MKLKLO_0017,푸꾸옥 에어텔 야경 케이블카 호핑투어 항공권 날씨 관광지 휴양 직항,1,0,0.0,0,0.0
20250829_LSR_BANGK_MMK_0005,방콕 날씨 추석연휴 항공권 리조트 직항 패키지 태국,1,0,0.0,0,0.0
20250829_KTM__SPAINPORTU_CMK_0007,스페인 포르투갈 패키지 항공권 직항 남유럽 일주,1,0,0.0,0,0.0
20250901_LSR_PHUQU_MKLKLO_0009,푸꾸옥 리조트 여행 베트남 휴양 항공권 케이블카 관광지 야경 야시장 자유,7,0,0.0,0,0.0
20250829_LSR_SINGAP_NMKTF_0007,11월 항공권 날씨 여행 3박5일 해외 싱가포르,1,0,0.0,0,0.0
20250829_CS_LV_OT_0010,미서부패키지여행 금문교 8대캐년 라스베게스 직항 여행 그렌드캐년 아시아나항공 피셔맨스워프,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0031,12월 호주 시드니 패키지 6박7일 투어 여행 가족,1,0,0.0,0,0.0
20250829_CS_SA4C_MLK_0010,남미일주 패키지 마추픽추 소금호수 우유니소금사막 파타고니아 아르헨티나 볼리비아 페루,1,0,0.0,0,0.0
20250901_LSR_CEBU_MKLKSH_0018,세부 항공권 대관람차 여행 호핑 쇼핑 가족 동남아,1,0,0.0,0,0.0
20250902_LSR_VANGV_MKR_0010,방비엥 블루라군 탐푸캄동굴 항공권 리조트 전망대 날씨,1,0,0.0,0,0.0
20250901_LSR_DANA_OMKTF_0015,10월 3박5일 날씨 동남아 일정 다낭 여행 패키지,1,0,0.0,0,0.0
20250829_LDW_QZT_SNM_0001,뉴질랜드 효도여행 하나투어 패키지 퀸즈타운 명소 패키지,1,0,0.0,0,0.0
20250901_LSR_HANOI_DMKTF_0003,12월 여행 하노이 동남아 항공권 리조트 날씨 패키지,1,0,0.0,0,0.0
20250901_LSR_NHATR_DMKTF_0003,12월 여행 해외 항공권 일정 베트남 직항 날씨,1,0,0.0,0,0.0
20250902_LSR_OSAK_MRRRR_0013,일본여행 해외 오사카성 신사이바시 도톤보리 날씨 리조트,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0051,1월 호주 여행 패키지 가족 시드니 6박7일 투어,6,0,0.0,0,0.0
20250829_KTM__FRANCE_MKL_0007,프랑스 항공권 보르도와이너리 여행 파리 직항 툴루즈,1,0,0.0,0,0.0
20250829_CS_VC_SNK_0017,나이아가라 몬트리올 캐나다 동부 토론토 미동부 인천출발 7박10일 패키지,1,0,0.0,0,0.0
20250829_LDW_GUAM_ML_0011,괌 사이판 PIC 여행 5박7일 투어 홈쇼핑 연휴 대한항공 리조트 패키지 4박6일,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_ML_0012,호주 투어 해변 여행사 6박7일 골드코스트 노쇼핑 가족 여행 홈쇼핑 패키지 시드니 6박7일,1,0,0.0,0,0.0
20250829_LSR_BANGK_MSMW_0014,방콕 날씨 리조트 패키지 여행 가을 9월 직항 태국,1,0,0.0,0,0.0
20250902_LSR_BEPP_MKLKSH_0006,벳부 유후인 해외 날씨 직항 패키지 간사이공항 에어텔,1,0,0.0,0,0.0
20250829_KTM_SPAINPORTU_ML_0010,스페인 포르투갈 미식 겨울철 관광 여행 바르셀로나 가을철 패키지,1,0,0.0,0,0.0
20250829_LSR_BANGK_MNMW_0006,방콕 날씨 여행 11월 3박5일 태국 해외 항공권,1,0,0.0,0,0.0
20250829_KTM__SPAINPORTU_DMK_0035,12월 가격 7박9일 관광 스페인 포르투갈 직항,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0048,1월 호주 가족 6박7일 여행 투어 시드니 패키지,1,0,0.0,0,0.0
20250901_LSR_DANA_MKRUT_0014,다낭 항공권 동남아 일정 패키지 직항 용다리 리조트,2,0,0.0,0,0.0
20250901_LSR_CEBU_MMK_0010,세부 동남아 패키지 항공권 직항 일정 날씨 해외 필리핀,1,0,0.0,0,0.0
20250829_KTM__ZHANG_MKL_0020,장가계 천문산 힐링 원가계 72기루 항공권 유리잔도,1,0,0.0,0,0.0
20250829_LSR_BANGK_MSLT_0014,방콕 날씨 직항 항공권 왓포 왓프라깨우 해외 여행,1,0,0.0,0,0.0
20250829_CS_SA4C_ML_0008,남미핵심일주 패키지 아르헨티나 브라질 볼리비아 페루 마추픽추 이과수폭포 가족여행 우정관광,3,0,0.0,0,0.0
20250829_CS_LA_MKL_0016,게티센터 할리우드사인 로스앤젤레스 패키지 아시아나항공,1,0,0.0,0,0.0
20250829_LDW_GUAM_GMK_0007,부산출발 사이판 추석 여행 괌 연휴 패키지 PIC 리조트,1,0,0.0,0,0.0
20250902_LSR_BEPP_RAN_0015,일본여행 날씨 직항 항공권 해외 온천 유후인 오사카,1,0,0.0,0,0.0
20250829_KTM__SPAINPORTU_MKL_0010,스페인 포르투갈 항공권 마드리드 리스본 남유럽 일주,1,0,0.0,0,0.0
20250829_KTM_FRANCE_ML_0002,프랑스 항공권 향수공방체험 부르기뇽 가볼만한곳 관광 직항 날씨 먹거리,1,0,0.0,0,0.0
20250902_LSR_OSAK_DMKRT_0008,12월 도톤보리 해외 날씨 일본 항공권 일정 여행,1,0,0.0,0,0.0
20250901_LSR_PHUQU_MKLKSH_0015,푸꾸옥 리조트 자유 호핑투어 일정 여행 케이블카 직항,5,0,0.0,0,0.0
20250902_LSR_TOKY_HMR_0020,하코네 항공권 후지산 날씨 하코네신사 일정 직항 에어텔,1,0,0.0,0,0.0
20250829_KTM_SPAINPORTU_ML_0018,스페인 포르투갈 숙소 여행 특가 힐링 관광 리스본 파티마 마드리드,1,0,0.0,0,0.0
20250902_LSR_TOKY_DTMR_0004,12월도쿄여행 하코네신사 후지산 패키지 일본 에어텔,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_DMK_0011,11월 호주 투어 시드니 6박7일 가족 여행 패키지,1,0,0.0,0,0.0
20250829_KTM__FRANCE_MKL_0010,프랑스 오르세미술관 여행 쉬농소성 직항 항공권 삘라사구,2,0,0.0,0,0.0
20250901_LSR_PHUQU_MKLKSH_0001,푸꾸옥 패키지 여행 해외 야경 날씨 호핑투어 리조트,55,1,1.8181818181818181,53,53.0
20250829_LDW_QZT_SNM_0019,뉴질랜드 명소 패키지 하나투어 패키지 효도여행 퀸즈타운,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_ML_0001,호주 시드니 6박7일 여행 호텔 해변 6박7일 골드코스트 가족 인천출발 일정 홈쇼핑 노쇼핑,1,0,0.0,0,0.0
20250829_CS_HL_MKL_0014,이올라니궁전 진주만 다이아몬드헤드 하와이 패키지 아시아나항공 가족여행,4,0,0.0,0,0.0
20250829_KTM__HONGKONG_DMK_0036,12월 호텔 패키지 비행시간 홍콩 항공권 직항 관광,1,0,0.0,0,0.0
20250901_LSR_HANOI_MKLKLO_0015,하노이 야시장 베트남 하롱베이 여행 휴양 야경 호핑투어 관광지 동남아,1,0,0.0,0,0.0
20250902_LSR_FUKYO_NMKRT_0019,11월 캐널시티하카타 오사카 일본여행 여행 항공권,1,0,0.0,0,0.0
20250829_LDW_SYDNEY_MKL_0013,호주 6박7일 오페라하우스 패키지 포트스티븐스 시드니 블루마운틴,1,0,0.0,0,0.0
20250901_LSR_BALI_MKR_0008,발리 패키지 해외 타나롯 동남아 항공권 몽키포레스트,1,0,0.0,0,0.0
20250829_LSR_PHUKET_MMK_20,푸껫 해외 패키지 태국 항공권 여행 직항 리조트 날씨,1,0,0.0,0,0.0
20250901_LSR_NHATR_MKLKSH_0019,나트랑 일정 해변 관광지 크루즈 여행 야시장 마사지,1,0,0.0,0,0.0
20250901_LSR_PHUQU_MKLKSH_0016,푸꾸옥 케이블카 휴양 일정 에어텔 야경 야시장 리조트,26,0,0.0,0,0.0
20250829_CS_SF_SNK_0020,샌프란시스코여행 미주여행 라스베가스여행 미국서부여행 그랜드캐년 투어 아시아나항공,1,0,0.0,0,0.0
20250829_KTM_SPAINPORTU_ML_0009,스페인 포르투갈 여행 리스본 남유럽 일주 힐링 추석연휴 가격 겨울철 미식,1,0,0.0,0,0.0
20250829_CS_LV_GPT_0015,라스베이거스 벨라지오분수쇼 하이롤러 미라지화산쇼 여행,1,0,0.0,0,0.0
